full_name;cas_no;ec_no;inchikey;canonical_smiles;dashboard_dtxsid;pubchem_cid;promisces_id;norman_susdat_id;uba_list;dtu_list_dk;UBA_cat;quality_UBA_cat;EC_cat;pfas_cs1_dwtp_route_a;pfas_cs1_urban_route_a;pfas_cs2_route_a;pfas_cs3_route_b;pfas_cs4_sofia_route_c;pfas_cs4_univpm_route_c;pfas_cs5_route_d;pfas_cs6_route_e;pfas_cs7_route_e;pfas_wwtp_network_wp3;ipmt_cs1_dwtp_route_a;ipmt_cs1_urban_route_a;ipmt_cs2_route_a;ipmt_cs3_route_b;ipmt_cs4_sofia_route_c;ipmt_cs4_univpm_route_c;ipmt_cs5_route_d;ipmt_cs7_route_e;promisces_CS;pro_workers_widespread;registered_consumer_use;article_serv_life_echa;uses;industry_uses;consumer_use;process_cat_1;process_cat_2;process_cat_3;process_cat_10;process_cat_11;process_cat_13;process_cat_15;process_cat_17;process_cat_18;process_cat_19;erc_2;erc_5;erc_8a;erc_8b;erc_8c;erc_8d;erc_8e;erc_8f;erc_9a;erc_9b;erc_10a;erc_10b;erc_11a;erc_11b;erc_12b;pNEC_type;average_mass;logKow_exp;logKow_pred;logKoa_exp;logKoa_pred;solubility_exp;solubility_pred;log_Koc_pred_dashboard;log_Koc_pred_episuite;bhl_pred;hl_pred_freshwater;bcf_pred;P_hl_exp_freshwater;P_hl_exp_soil;P_hl_exp_sediments;M_logKoc_UBA;M_Dow_min_UBA;pNEC_freshwater;T_score_predicted_rivm;kemi_score;E_score_min;E_score_max;tonnage_band;min_tonnage;max_tonnage;PC0;PC1;PC2;PC3;PC4;PC7;PC8;PC9a;PC9b;PC9c;PC11;PC12;PC13;PC14;PC15;PC16;PC17;PC18;PC19;PC20;PC21;PC23;PC24;PC25;PC26;PC27;PC28;PC29;PC30;PC31;PC32;PC33;PC34;PC35;PC36;PC37;PC38;PC39;PC40;PC41;PC42;SU0;SU1;SU2a;SU2b;SU4;SU5;SU6a;SU6b;SU7;SU8;SU9;SU10;SU11;SU12;SU13;SU14;SU15;SU16;SU17;SU18;SU19;SU20;SU23;SU24;P_score_freshwater_pred_UBA;P_score_freshwater_pred_RIVM;P_score_freshwater_pred_Dashboard;P_score_soil_exp_UBA;P_score_sediment_exp_UBA;M_score_exp_UBA;M_score_pred_Episuite;M_score_pred_Dashboard;T_score_clp_harmonised;T_score_carcinogenicity_atp18;T_score_mutagenicity_atp18;T_score_reprotoxicity_atp18;T_score_ed_lists_(jan2023);pnoec_fish;reliability_pnoec_fish;adi_pnoec_fish;pnoec_daphnia;reliability_pnoec_daphnia;adi_pnoec_daphnia;pnoec_algae;reliability_pnoec_algae;adi_pnoec_algae;pNEC_score;pNOEC_daphnia_score;pNOEC_fish_score;pNOEC_algae_score;T_score_ecotox;P_robust_score;P_robust_value;P_conservative_score;P_conservative_value;P_average_value;M_robust_score;M_robust_value;M_conservative_score;M_conservative_value;M_average_value;E_robust_score;E_robust_value;PM_conservative_score;robustness;PM_robust_score;PM_robust_robustness;PM_average_score;PM_average_robustness;T_score_score;T_score_robustness;PMT_conservative_score;PMT_conservative_robustness;PMT_robust_score;PMT_robust_robustness;PMT_average_score;PMT_average_robustness;cluster labels;conservative_classification;robust_classification;average_classification;priority_group
(1S,4R,4aS,9aR)-4,4a,9,9a-tetrahydro-1H-1,4-methanofluorene;;700-736-9;XUFPYLQWLKKGDQ-ZMJPVWNMSA-N;c1(NP(=O)(N)N)c(N(=O)=O)cccc1;;;PRO-001;;REACH-A;FALS;PMT;HQ;Potential PMT/vPvM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;;;;;;;;;;;;;;;3,3;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;CERT;0;0;0;0;570,3;low ;0,329;3230;low ;0,323;6770;low ;0,282;;0,029051522;0,059742879;0,021236084;0,034670387;;;;;;;;;;;;;;;;;;;0,034670387;0,5;0,034670387;0,25;0,034670387;0,25;0,034670387;0,25;;;;;
(1S,4R,6R)-1-[(3E)-5-hydroxy-3-methylpent-3-en-1-yn-1-yl]-2,2,6-trimethylcyclohexane-1,4-diol;70905-68-9;700-054-1;AJDYPKBZJGFSDZ-VXLSFFSTSA-N;CC1(C)C[C@H](O)C[C@@H](C)[C@@]1(O)C#C/C(=C/CO)/C;DTXSID301114439;14631277;PRO-002;NS00001720;REACH-B;FALS;vPvM & PMT;MQ;vPvM & PMT;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;P-PNEC;252,354;;2,43;;8,33;;0,00794;2,198657087;;79,0436317;;1,48;35;;;;0,5;35,50931886;;0,22;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,284668525;;0,615676279;;;;;0,465629641;FALS;0;0;0;0;139,6;low ;0,376;4050;low ;0,507;1050;low ;0,616;0,175036829;0,026404666;0,10481013;0,046477739;0,220627584;;;P_score_freshwater_pred_Dashboard;0,615676279;0,450172402;;;M_score_pred_Dashboard;0,465629641;0,465629641;kemi_score;0,22;0,53542238;1;;;0,457835793;1;0,220627584;0,5;0,398429008;0,75;0,220627584;0,25;0,35894378;0,75;0.00;PM;;PM;4
(2-allyloxy-1,1-dimethyl-2-oxo-ethyl) 2-chloro-5-[3,6-dihydro-3-methyl-2,6-dioxo-4-(trifluoromethyl)-1(2H)-pyrimidin-1-yl]benzoate;134605-64-4;603-837-5;JEDYYFXHPAIBGR-UHFFFAOYSA-N;CC(C)(C(=O)OCC=C)OC(=O)C1=C(C=CC(=C1)N2C(=O)C=C(N(C2=O)C)C(F)(F)F)Cl;DTXSID9034365;11826859;PRO-003;NS00006629;REACH-A;CERT;vPvM & PMT;HQ;vPvM & PMT;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;FALS;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;P-PNEC pred;474,82;;3,57;;11,7;2,09E-05;7,45E-06;2,11058971;;169,017118;;5,62;65;266;;1,5;;0,21696;;0,42;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,534155203;;0,854515447;0,660972635;;0,585786438;;0,480845642;FALS;0;0;0;0;32,2;low ;0,194;92,2;low ;0;608,2;low ;0;0,660073175;0,122955965;0,18125677;0,058192391;0,698076557;P_score_soil_exp_UBA;0,660972635;P_score_freshwater_pred_Dashboard;0,854515447;0,683214428;M_score_exp_UBA;0,585786438;M_score_exp_UBA;0,585786438;0,53331604;kemi_score;0,42;0,707505166;1;0,622244972;1;0,60363003;1;0,698076557;0,5;0,704348231;0,75;0,646559676;0,75;0,633599622;0,75;0.00;vPvM(T);PM(T);PM(T);3
(2?,3?,5?,16?,17?)-17-Acetoxy-3-hydroxy-2-(4-morpholinyl)-16-(1-pyrrolidinyl)androstane;119302-24-8;601-596-0;YBZSVMDKHBRYNB-UHFFFAOYSA-N;CC(=O)OC1C(CC2C3CCC4CC(O)C(CC4(C)C3CCC12C)N1CCOCC1)N1CCCC1;DTXSID601035727;16064933;PRO-004;NS00001345;REACH-B;FALS;vPvM;HQ;vPvM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;FALS;FALS;CERT;FALS;FALS;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;P-PNEC pred;488,713;;4,04;;10,2;;1,78E-06;4,309630167;;6,76E+73;;24,5;637;;;;-3,8;0,59833;;0,35;0,02;0,06;>1 to < 10 tonnes;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,982682906;;1;;;;;0,16785396;FALS;0;0;0;0;209,1;low ;0;3090;low ;0,645;134,7;low ;0;0,555534733;0,029599297;0,089451219;0,106275043;0,585544202;;;P_score_freshwater_pred_Dashboard;1;0,991341453;;;M_score_pred_Dashboard;0,16785396;0,16785396;kemi_score;0,35;0,409699841;1;;;0,407922283;1;0,585544202;0,5;0,461491556;0,75;0,585544202;0,25;0,460155744;0,75;1.00;PM;;PM;4
(5-hydroxy-1,3-dimethyl-1H-pyrazol-4-yl)[2-(methylsulfonyl)-4-(trifluoromethyl)phenyl]methanone;365400-11-9;609-256-3;DWSPRBSLSXQIEJ-UHFFFAOYSA-N;CC1=C(C(=O)N(N1)C)C(=O)C2=C(C=C(C=C2)C(F)(F)F)S(=O)(=O)C;DTXSID2044343;11693711;PRO-005;;REACH-A;FALS;vPvM;HQ;vPvM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;FALS;FALS;FALS;FALS;FALS;FALS;CERT;FALS;FALS;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;P-PNEC;364,34;;1,33;;9;;0,0018;2,810232518;;34,81331749;;1,74;327;120;578;1,3;;0,466114172;;;0,13;0,25;>10 to < 100 tonnes;10;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,94778085;;0,282810472;0,333333333;0,880202056;0,618975739;;0,36317493;FALS;0;0;0;0;189,8;low ;0,196;1850;low ;0,203;1160;low ;0;0,582126176;0,036714724;0,092936482;0,044597369;0,604741381;P_score_sediment_exp_UBA;0,880202056;P_score_freshwater_pred_UBA;0,94778085;0,611031678;M_score_exp_UBA;0,618975739;M_score_exp_UBA;0,618975739;0,491075334;E_score_max;0,25;0,765932994;1;0,73812175;1;0,547779687;1;0,604741381;0,5;0,707919292;0,75;0,690677377;0,75;0,566144351;0,75;0.00;vPvM(T);vPvM(T);PM(T);
[(2R)-2-(2,4-dichlorophenyl)-2-[(1H-1,2,4-triazol-1-yl)methyl]-1,3-dioxolan-4-yl]methyl methanesulfonate hydrochloride;155661-07-7;445-550-6;VOEZOGZQSVLIRN-HYHLQHTJNA-N;CS(=O)(=O)OCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl.Cl;DTXSID801020958;133082483;PRO-006;NS00078588;REACH-A;FALS;vPvM;HQ;PM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;FALS;FALS;CERT;FALS;FALS;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;P-PNEC;444,71;;0,41;;10,8;;8,13E-05;1,800029359;;4105,160008;;5,5;1028;;;2,5;;6,413071061;;;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,992284402;;0,999271508;;;0,414213562;;0,534596898;FALS;0;0;0;0;125,1;low ;0,196;488,6;low ;0,277;701;low ;0,234;0,308516054;0,063628342;0,109363682;0,054903081;0,357204805;;;P_score_freshwater_pred_Dashboard;0,999271508;0,995777955;M_score_exp_UBA;0,414213562;M_score_pred_Dashboard;0,534596898;0,47440523;E_score_min;0;0,730894964;1;0,414213562;0,5;0,687315263;1;0,357204805;0,5;0,575717031;0,75;0,384654487;0,5;0,552598569;0,75;0.00;vPvM;PM;PM;
[(3aS,4S,6S)-6-methoxy-2,2-dimethyl-tetrahydro-2H-furo[3,4-d][1,3]dioxol-4-yl]methyl 4-methylbenzene-1-sulfonate;4137-56-8;609-920-2;IAPMZKRZMYQZSW-UHFFFAOYSA-N;CC1(C)OC2[C@@H](O1)[C@@H](O[C@@H]2OC)COS(=O)(=O)c1ccc(C)cc1;DTXSID50284838;236623;PRO-007;NS00003867;REACH-B;FALS;vPvM;HQ;vPvM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;CERT;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;P-PNEC pred;358,41;;2,38;;9,4;;0,00098;1,889861721;;107,7700726;;1,55;1488;;;;1,4;10,47795;;0,27;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,99588492;;0,731291418;;;;;0,519076245;FALS;0;0;0;0;333,4;low ;0,202;1510;low ;0,245;2590;low ;0,245;0,26497358;0,039964567;0,074263807;0,03188239;0,29855245;;;P_score_freshwater_pred_UBA;0,99588492;0,863588169;;;M_score_pred_Dashboard;0,519076245;0,519076245;kemi_score;0,27;0,718985539;1;;;0,66952827;1;0,29855245;0,5;0,536397794;0,75;0,29855245;0,25;0,511508466;0,75;0.00;vPvM;;PM;4
[(3S,4R,4aR,6S,6aS,12R,12aS,12bS)-3-(cyclopropanecarbonyloxy)-6,12-dihydroxy-4,6a,12btrimethyl-11-oxo-9-(pyridin-3-yl)-1,2,3,4,4a,5,6,6a,12a,12b-decahydro-11H,12Hbenzo[f]pyrano[4,3-b]chromen-4-yl]methylcyclopropanecarboxylate;915972-17-7;815-966-6;;CC12CCC(C(C1CC(C3(C2C(C4=C(O3)C=C(OC4=O)C5=CN=CC=C5)O)C)O)(C)COC(=O)C6CC6)OC(=O)C7CC7;DTXSID00896889;54589430;PRO-008;;REACH-A;FALS;vPvM;HQ;PM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;593,673;;2,49;;9,73;;6,62E-05;4,92992956;;1,89E+64;;5,01;11;66;371;2,7;;;;;0;0,08;>0 to < 10 tonnes;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,052148659;;1;0,152496117;0,774936038;0,381024261;;0,115999432;FALS;0;0;0;0;343,4;low ;0;4640;low ;0;638,8;low ;0;;0,02492804;0,073386245;0,057034954;0;P_score_sediment_exp_UBA;0,774936038;P_score_freshwater_pred_Dashboard;1;0,494895204;M_score_exp_UBA;0,381024261;M_score_exp_UBA;0,381024261;0,248511847;E_score_max;0,08;0,617271627;1;0,543387;1;0,350695482;1;0;0,5;0;0,75;0;0,75;0;0,75;1.00;PM;PM;PM;
[[(phosphonomethyl)imino]bis[ethane-2,1-diylnitrilobis(methylene)]]tetrakisphosphonic acid;15827-60-8;239-931-4;DUYCTCQXNHFCSJ-UHFFFAOYSA-N;C(CN(CP(=O)(O)O)CP(=O)(O)O)N(CCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O;DTXSID0027775;85128;PRO-009;NS00004368;REACH-A;CERT;vPvM;HQ;vPvM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;CERT;CERT;CERT;chelating;"Anti-scaling agent; Cleaning agent; Corrosion inhibitor; Corrosion inhibitors and anti-scaling agents; Intermediate; Processing aids, specific to petroleum production";"Corrosion inhibitors and anti-scaling agents; Other (specify)";CERT;CERT;CERT;CERT;CERT;CERT;CERT;FALS;FALS;CERT;CERT;CERT;CERT;CERT;CERT;CERT;FALS;CERT;FALS;FALS;FALS;FALS;CERT;FALS;FALS;P-PNEC pred;573,198;;-6,95;;9,6;;1,06;1,770115295;;58,55696259;;3,09;4685;;;;-16,3;0,25976;;0,73;0,26;0,39;>100 to < 1000 tonnes;100;1000;1;0;0;1;0;1;1;1;1;1;0;1;0;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;1;1;0;1;1;1;0;1;0;0,999418704;;0,489597175;;;;;0,539751909;FALS;0;0;0;0;335,3;low ;0;1420;low ;0;1720;low ;0;0,642315367;0,041001206;0,074094316;0,037850398;0,642315367;;;P_score_freshwater_pred_UBA;0,999418704;0,74450794;;;M_score_pred_Dashboard;0,539751909;0,539751909;kemi_score;0,73;0,734464535;1;;;0,633916068;1;0,642315367;0,5;0,702365748;0,75;0,642315367;0,25;0,636703559;0,75;2.00;vPvM(T);(T);PM(T);1
[2,2-dimethyl-3-(morpholin-4-yl)propylidene][6-({2-methyl-2-[(morpholin-4-yl)methyl]propylidene}amino)hexyl]amine;1217271-49-2;700-570-7;BVUYTWFHWBDUQZ-UHFFFAOYSA-N;CC(C)(CN1CCOCC1)C=NCCCCCCN=CC(C)(C)CN1CCOCC1;DTXSID801045043;89999256;PRO-010;NS00010203;REACH-B;FALS;vPvM;HQ;PM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;CERT;CERT;CERT;;;;CERT;CERT;CERT;CERT;CERT;CERT;CERT;FALS;FALS;FALS;CERT;CERT;FALS;FALS;CERT;FALS;FALS;CERT;FALS;FALS;FALS;FALS;CERT;FALS;FALS;P-PNEC;422,658;;4,6;;11,5;;0,00191;2,749736316;;4105,160008;;42,7;2379;;;;-0,3;0,226344292;;0,32;0,01;0,01;Tonnage data confidential;;;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0,998150811;;0,999271508;;;;;0,372927621;FALS;0;0;0;0;177,3;low ;0,268;9560;low ;0,242;522,7;low ;0;0,655934853;0,018334648;0,095460905;0,061904871;0,655934853;;;P_score_freshwater_pred_Dashboard;0,999271508;0,99871116;;;M_score_pred_Dashboard;0,372927621;0,372927621;kemi_score;0,32;0,610455524;1;;;0,610284341;1;0,655934853;0,5;0,625253677;0,75;0,655934853;0,25;0,625136783;0,75;1.00;PM(T);(T);PM(T);4
[2-[[2-cyano-3-[4-(diethylamino)phenyl]-1-oxoallyl]oxy]ethyl][3-[[2-cyano-3-[4-(diethylamino)phenyl]-1-oxoallyl]oxy]propyl]dimethylammonium chloride;78181-99-4;278-859-8;LOIBKNKBFZKAQY-AMLXCYGQSA-N;CCN(CC)C1=CC=C(C=C1)C=C(C#N)C(=O)OCCC[N+](C)(C)CCOC(=O)C(=CC2=CC=C(C=C2)N(CC)CC)C#N.[Cl-];DTXSID30888535;6441372;PRO-011;NS00001709;REACH-A;CERT;vPvM;HQ;PM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;CERT;FALS;CERT;;Dye;Dye;CERT;CERT;CERT;CERT;FALS;CERT;CERT;FALS;FALS;FALS;CERT;CERT;FALS;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;CERT;FALS;FALS;P-PNEC;636,23;;2,6;;11,7;;0,025;5;4,851;6063,242488;302,4315642;85,1;639;;;2,1;;0,224421006;0,12;0,62;0,24;0,36;>100 to < 1000 tonnes;100;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0,982773865;0,940763417;0,999625863;;;0,482678255;0,1217285;0,111111111;FALS;0;0;0;0;182,4;low ;0;6830;low ;0;1490;low ;0;0,656770764;0,02115658;0,094402719;0,040187333;0,656770764;;;P_score_freshwater_pred_Dashboard;0,999625863;0,974387715;M_score_exp_UBA;0,482678255;M_score_exp_UBA;0,482678255;0,238505956;kemi_score;0,62;0,694620521;1;0,482678255;0,5;0,482076003;1;0,280735626;1;0,441593395;1;0,336318634;0,75;0,367880291;1;1.00;PM;PM;PM;2
[2-butyl-4-chloro-1-({4-[2-(2H-1,2,3,4-tetrazol-5-yl)phenyl]phenyl}methyl)-1H-imidazol-5-yl]methanol;114798-26-4;601-329-8;PSIFNNKUMBGKDQ-UHFFFAOYSA-N;CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl;DTXSID7023227;3961;PRO-012;NS00008822;REACH-A;CERT;vPvM & PMT;MQ;PMT;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;CERT;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;JD-UQN proposal;422,92;;3,61;;9,62;;9,04E-06;4,130333768;3,203;1329083,281;45,93182146;22,4;384;;;;1;78;0,3;0,4;0,12;0,18;>100 to < 1000 tonnes;100;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,959819459;0,387755155;0,999999963;;;;0,302830345;0,185936244;FALS;0;0;0;0;114;low ;0,196;6520;low ;0,226;45;low ;0;0,131005829;0,021578405;0,113356542;0,160675242;0,131005829;;;P_score_freshwater_pred_Dashboard;0,999999963;0,782524859;;;M_score_pred_Episuite;0,302830345;0,244383295;kemi_score;0,4;0,550300221;1;;;0,437305389;1;0,198246686;1;0,330295618;1;0,198246686;0,5;0,294439033;1;1.00;PM;;PM;3
[ethane-1,2-diylbis[nitrilobis(methylene)]]tetrakisphosphonic acid;1429-50-1;215-851-5;NFDRPXJGHKJRLJ-UHFFFAOYSA-N;C(CN(CP(=O)(O)O)CP(=O)(O)O)N(CP(=O)(O)O)CP(=O)(O)O;DTXSID3061689;15025;PRO-013;NS00009310;REACH-A;FALS;vPvM;HQ;vPvM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;CERT;CERT;CERT;;;;CERT;CERT;CERT;CERT;CERT;CERT;CERT;FALS;FALS;CERT;CERT;CERT;CERT;CERT;FALS;CERT;CERT;FALS;FALS;FALS;FALS;FALS;CERT;FALS;FALS;;436,123;;-5,79;;9,58;;1,33;1,609594409;;58,55696259;;3,09;648;;;;-12,1;2,43698;;;0,14;0,26;>10 to < 100 tonnes;10;100;1;0;0;1;0;1;1;1;1;0;0;1;0;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0;1;1;0;0;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;0,983174003;;0,489597175;;;;;0,567242293;FALS;0;0;0;0;349,1;low ;0;17960;low ;0;2430;low ;0;0,404475355;0,014004041;0,072901551;0,032748345;0,404475355;;;P_score_freshwater_pred_UBA;0,983174003;0,736385589;;;M_score_pred_Dashboard;0,567242293;0,567242293;E_score_max;0,26;0,746791722;1;;;0,646304147;1;0,404475355;0,5;0,608737914;0,75;0,404475355;0,25;0,552826242;0,75;2.00;vPvM;;PM;
1-(3-chloropyridin-2-yl)-N-[4-cyano-2-methyl-6-(methylcarbamoyl)phenyl]-3-{[5-(trifluoromethyl)-2H-tetrazol-2-yl]methyl}-1H-pyrazole-5-carboxamide;1229654-66-3;810-161-6;KNDVJPKNBVIKML-UHFFFAOYSA-N;CC1=CC(=CC(=C1NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)CN4N=C(N=N4)C(F)(F)F)C(=O)NC)C#N;DTXSID40894829;56602311;PRO-014;;REACH-A;FALS;vPvM;HQ;PM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;FALS;FALS;CERT;FALS;FALS;FALS;CERT;FALS;FALS;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;544,88;;2,8;;9,71;;0,000301;1,640481437;;34,81331749;;11,2;24;183;218;2,3;;;;;0,11;0,22;>10 to < 100 tonnes;10;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,17272887;;0,282810472;0,507063787;0,581135565;0,448200481;;0,561979406;FALS;0;0;0;0;149,9;low ;0;2260;low ;0,174;277,2;low ;0;;0,033760885;0,101944655;0,079967167;0,005874394;P_score_sediment_exp_UBA;0,581135565;P_score_sediment_exp_UBA;0,581135565;0,385934673;M_score_exp_UBA;0,448200481;M_score_pred_Dashboard;0,561979406;0,505089944;E_score_max;0,22;0,571477226;1;0,510357953;1;0,441510728;1;0,005874394;0,5;0,124256842;0,75;0,11523143;0,75;0,104620116;0,75;0.00;PM;PM;PM;
